time_s,state,phase,radial_expansion,radial_expansion_median,radial_std,radial_p95,outward_frac,inward_frac,pt_displacement_mean,pt_displacement_median,pt_displacement_std,pt_displacement_max,point_count,point_density,feature_radius_mean,feature_radius_std,flow_magnitude,flow_dir_hist_0,flow_dir_hist_1,flow_dir_hist_2,flow_dir_hist_3,flow_dir_hist_4,flow_dir_hist_5,flow_dir_hist_6,flow_dir_hist_7,foe_x,foe_y,flow_median,flow_p95,flow_std,flow_max,div_mean,div_median,div_std,div_p95,div_pos_frac,div_max,grid_flow_00,grid_flow_01,grid_flow_02,grid_flow_10,grid_flow_11,grid_flow_12,grid_flow_20,grid_flow_21,grid_flow_22,cam_rotation,cam_scale,cam_tx,cam_ty,residual_flow_mean,residual_flow_p95,residual_div,hom_scale,hom_rotation,hom_tx,hom_ty,hom_persp_x,hom_persp_y,hom_ok,edge_density,texture_var,grad_magnitude_mean,sharpness,sky_fraction,ground_fraction,horizon_angle,horizon_pos,horizon_conf,expansion_rate,expansion_acceleration
0.0000,STABLE,STABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,500.0000,0.0005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0889,1425.3862,57.9552,238.2340,0.5044,0.4966,23.9958,0.5250,0.9510,0.6848,26.3136
0.0334,STABLE,STABLE,0.0012,0.0000,0.0384,0.0729,0.2840,0.2300,0.0228,0.0001,0.0479,0.2538,500.0000,0.0005,239.3396,138.5743,0.0228,0.5960,0.0480,0.0680,0.0240,0.0300,0.0260,0.0880,0.1200,1080.4130,367.9762,0.0096,0.2038,0.0729,0.6341,0.0000,-0.0000,0.0096,0.0153,0.4999,0.1099,0.0689,0.0332,0.0018,0.1213,0.0849,0.0427,0.0779,0.0169,0.0275,0.0001,1.0000,0.0454,0.0085,0.0320,0.1226,0.0001,0.9999,-0.0002,0.1116,-0.0021,-0.0000,-0.0000,1.0000,0.0874,1423.3558,57.6106,226.9646,0.4997,0.4846,29.0317,0.4986,0.9906,1.5628,24.1547
0.0667,STABLE,STABLE,0.0501,0.0430,0.2274,0.4145,0.5820,0.4180,0.3958,0.4182,0.1652,0.9634,500.0000,0.0005,238.4168,139.0944,0.3958,0.3900,0.0260,0.0100,0.0060,0.0020,0.0100,0.0660,0.4900,1086.3059,361.2802,0.2638,0.6555,0.2146,1.6348,-0.0003,-0.0000,0.0296,0.0466,0.4974,0.3778,0.3538,0.3748,0.4097,0.2547,0.1792,0.3196,0.2671,0.0408,0.3700,-0.0020,1.0000,0.3539,-0.0702,0.1986,0.4321,-0.0004,1.0003,0.0089,-0.0717,-0.1471,0.0000,-0.0000,1.0000,0.0874,1421.2124,57.5120,193.8452,0.5002,0.4835,29.0009,0.4889,0.9887,2.2967,19.8369
0.1001,STABLE,STABLE,0.0860,0.0849,0.2042,0.4291,0.6920,0.3080,0.3048,0.2991,0.1620,0.8234,500.0000,0.0005,241.3639,137.2720,0.3048,0.3140,0.0200,0.0020,0.0020,0.0040,0.0160,0.1540,0.4880,1071.4440,373.0012,0.2133,0.6250,0.2051,1.7147,-0.0000,0.0000,0.0290,0.0453,0.5024,0.4507,0.2727,0.2567,0.2619,0.2872,0.1935,0.3091,0.2832,0.0338,0.3645,0.0171,1.0001,0.0368,0.2263,0.1767,0.3667,-0.0001,0.9996,-0.0175,0.3447,0.2608,-0.0000,-0.0000,1.0000,0.0926,1433.6253,59.1014,218.4142,0.4997,0.4830,28.0585,0.4764,0.9815,2.8865,15.5192
0.1335,ASCEND,ASCEND,0.2108,0.2480,0.2630,0.5744,0.8120,0.1880,0.4455,0.4452,0.1577,0.9385,500.0000,0.0005,259.6134,124.6360,0.4455,0.6900,0.0360,0.0020,0.0020,0.0020,0.0020,0.0060,0.2600,1015.5454,362.1151,0.4028,0.7949,0.2442,1.8880,-0.0002,0.0000,0.0310,0.0481,0.5025,0.4325,0.4530,0.3760,0.3540,0.5431,0.3027,0.4423,0.4930,0.0654,0.4849,0.0159,1.0002,0.1488,0.3220,0.1586,0.3992,0.0000,0.9995,-0.0249,0.4840,0.4958,-0.0000,-0.0000,1.0000,0.0847,1415.4580,57.1750,163.6694,0.4989,0.4832,27.0294,0.4750,0.9769,3.3323,11.2014
0.1668,ASCEND,ASCEND,0.2900,0.3491,0.2981,0.6739,0.8620,0.1380,0.5231,0.5176,0.1592,0.9977,500.0000,0.0005,278.9185,115.7532,0.5231,0.7460,0.0840,0.0020,0.0020,0.0000,0.0020,0.0000,0.1640,976.1983,340.7920,0.4927,0.9302,0.2807,1.9305,-0.0004,-0.0000,0.0351,0.0547,0.4965,0.5770,0.5920,0.4671,0.4846,0.6320,0.3849,0.5038,0.5835,0.0802,0.5334,0.0065,1.0002,0.2550,0.2165,0.1956,0.4211,0.0001,1.0000,-0.0084,0.4069,0.2418,-0.0000,-0.0000,1.0000,0.0846,1415.4166,57.3445,160.2146,0.4990,0.4826,-26.9986,0.4611,0.9660,3.6340,6.8836
0.2002,ASCEND,ASCEND,0.1341,0.1541,0.2484,0.4693,0.7560,0.2440,0.3966,0.4168,0.2284,1.0031,500.0000,0.0005,264.2534,122.6256,0.3966,0.4260,0.1100,0.0120,0.0140,0.0140,0.0060,0.0480,0.3700,1005.5667,363.6987,0.4579,1.0787,0.3312,2.3635,-0.0003,-0.0000,0.0306,0.0470,0.4943,0.3613,0.6948,0.4392,0.2221,0.7373,0.3327,0.4095,0.7388,0.0594,0.5503,0.0448,0.9999,0.1886,0.9163,0.1757,0.3946,0.0000,0.9996,-0.0452,0.1827,0.9866,-0.0000,-0.0000,1.0000,0.0944,1438.1156,59.9074,203.6043,0.4986,0.4817,29.0241,0.4917,0.9936,3.7917,2.5658
0.2336,ASCEND,ASCEND,0.1116,0.1043,0.2106,0.4500,0.7048,0.2952,0.2821,0.2614,0.2138,1.4515,500.0000,0.0005,264.8763,124.4637,0.2821,0.3855,0.1466,0.0884,0.0442,0.0321,0.0382,0.0743,0.1908,1004.2339,380.5400,0.4029,1.1938,0.3786,2.1540,-0.0004,-0.0000,0.0324,0.0492,0.4979,0.5066,0.9820,0.4869,0.1745,0.8269,0.3160,0.2874,0.6847,0.0645,0.4412,0.0450,1.0001,-0.2110,0.9015,0.1584,0.3990,0.0001,1.0007,-0.0256,-0.5952,0.5308,0.0000,-0.0000,1.0000,0.0890,1428.2528,58.9043,170.7669,0.4993,0.4803,-27.0098,0.4361,0.9416,3.8053,-6.1301
0.2669,STABLE,ASCEND,0.0623,0.0579,0.2765,0.5080,0.6000,0.4000,0.3334,0.3422,0.1922,1.3119,500.0000,0.0005,260.5807,127.2263,0.3334,0.2840,0.4220,0.1500,0.0220,0.0220,0.0060,0.0300,0.0640,1015.4128,385.7015,0.4220,0.8887,0.2758,2.2550,-0.0002,-0.0000,0.0315,0.0487,0.4991,0.3631,0.6333,0.5107,0.3199,0.6080,0.3590,0.3667,0.5337,0.0670,0.4069,0.0304,1.0000,-0.0873,0.7963,0.1983,0.4024,0.0001,0.9984,-0.0632,0.9418,1.4866,-0.0000,-0.0000,1.0000,0.0885,1427.4920,59.0542,168.9463,0.5012,0.4796,-26.0177,0.4694,0.9562,3.3826,-15.4438
0.3003,STABLE,ASCEND,0.0105,0.0090,0.1856,0.3141,0.5311,0.4689,0.2564,0.2339,0.1947,1.0335,500.0000,0.0005,258.9349,132.8458,0.2564,0.2786,0.1703,0.1463,0.0521,0.0120,0.0160,0.0661,0.2585,1023.7816,407.6970,0.3790,0.9291,0.2981,2.2464,-0.0003,-0.0000,0.0253,0.0387,0.4926,0.5632,0.6976,0.4611,0.2153,0.6617,0.2846,0.2055,0.6300,0.0551,0.3890,0.0421,0.9998,0.1213,0.9304,0.1533,0.3475,-0.0002,0.9996,-0.0402,-0.0090,0.9666,-0.0000,-0.0000,1.0000,0.0968,1444.4669,61.1516,202.8247,0.5005,0.4789,-26.0228,0.4514,0.9654,2.7747,-19.7810
