time_s,state,phase,radial_expansion,radial_expansion_median,radial_std,radial_p95,outward_frac,inward_frac,pt_displacement_mean,pt_displacement_median,pt_displacement_std,pt_displacement_max,point_count,point_density,feature_radius_mean,feature_radius_std,flow_magnitude,flow_dir_hist_0,flow_dir_hist_1,flow_dir_hist_2,flow_dir_hist_3,flow_dir_hist_4,flow_dir_hist_5,flow_dir_hist_6,flow_dir_hist_7,foe_x,foe_y,flow_median,flow_p95,flow_std,flow_max,div_mean,div_median,div_std,div_p95,div_pos_frac,div_max,grid_flow_00,grid_flow_01,grid_flow_02,grid_flow_10,grid_flow_11,grid_flow_12,grid_flow_20,grid_flow_21,grid_flow_22,cam_rotation,cam_scale,cam_tx,cam_ty,residual_flow_mean,residual_flow_p95,residual_div,hom_scale,hom_rotation,hom_tx,hom_ty,hom_persp_x,hom_persp_y,hom_ok,edge_density,texture_var,grad_magnitude_mean,sharpness,sky_fraction,ground_fraction,horizon_angle,horizon_pos,horizon_conf,expansion_rate,expansion_acceleration
0.0000,STABLE,STABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,123.0000,0.0021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0850,6500.1979,62.7289,1333.5818,0.6012,0.1639,30.0333,0.5000,0.8054,-2.0224,6.6682
0.0667,STABLE,STABLE,-0.5249,-0.5321,0.4528,0.1568,0.1311,0.8689,0.7378,0.7191,0.4998,3.0120,171.0000,0.0030,100.6870,37.1227,0.7378,0.1066,0.7213,0.1311,0.0082,0.0000,0.0082,0.0082,0.0164,160.1108,130.6476,0.3546,1.4211,0.5478,3.4225,-0.0013,-0.0000,0.0837,0.0618,0.4604,1.5869,1.1117,0.9277,0.5721,0.9071,0.4138,0.2226,0.4568,0.0725,0.1097,0.1195,0.9977,0.4011,1.1438,0.3716,0.7893,0.0027,0.9937,-0.2162,0.7470,1.6580,-0.0000,-0.0000,1.0000,0.0842,6506.2492,62.9067,1283.5709,0.5388,0.1685,29.9816,0.4944,0.8176,-1.5774,6.2973
0.1335,STABLE,STABLE,-0.0617,-0.0544,0.1304,0.1475,0.3333,0.6667,0.3027,0.3003,0.1890,0.8980,193.0000,0.0034,94.7333,37.5030,0.3027,0.3626,0.2164,0.0585,0.0117,0.0234,0.0702,0.1053,0.1520,160.8417,108.1735,0.2004,0.6073,0.2119,4.7626,-0.0019,-0.0000,0.0469,0.0492,0.4614,2.3790,0.2855,0.3839,0.3053,0.2831,0.1319,0.2385,0.2174,0.0774,0.1961,-0.1319,0.9996,0.3916,-0.2701,0.1889,0.4046,0.0007,0.9988,0.1368,0.3955,-0.1520,0.0000,-0.0000,1.0000,0.0846,6451.8584,63.0846,1272.2811,0.5428,0.1714,30.1203,0.4889,0.8250,-1.1820,5.5554
0.2002,STABLE,STABLE,0.4128,0.4095,0.5251,1.2008,0.7609,0.2391,0.7087,0.6446,0.4907,2.5501,197.0000,0.0034,96.4325,37.3156,0.7087,0.0109,0.0326,0.0272,0.0163,0.1250,0.6467,0.1087,0.0326,162.8940,113.1001,0.3884,1.2823,0.6037,11.4933,0.0001,0.0000,0.1445,0.0944,0.5327,2.3770,0.9430,0.7768,0.4811,1.0336,0.3610,0.2728,0.4422,0.0941,0.2219,-0.0871,1.0021,-0.4509,-0.9684,0.4136,1.1122,-0.0029,1.0071,0.1972,-0.9226,-1.4367,0.0000,0.0000,1.0000,0.0849,6313.8753,62.7760,1260.2462,0.5037,0.1876,29.9315,0.4889,0.8297,-0.8360,4.8136
0.2669,STABLE,STABLE,0.0219,0.0067,0.1259,0.1943,0.5635,0.4365,0.1609,0.1253,0.1642,0.8897,202.0000,0.0035,92.4763,37.6726,0.1609,0.0660,0.1878,0.1929,0.1777,0.1929,0.1117,0.0558,0.0152,160.9575,97.9975,0.0555,0.4249,0.1540,5.8250,0.0006,-0.0000,0.0383,0.0287,0.4881,2.9078,0.1484,0.1604,0.0908,0.2134,0.0956,0.0484,0.2498,0.0222,0.0234,0.0547,1.0005,-0.1847,0.1722,0.1495,0.3851,-0.0004,1.0024,-0.0200,-0.3252,-0.0322,0.0000,0.0000,1.0000,0.0845,6302.1348,62.6567,1247.3960,0.5245,0.1842,30.0333,0.4778,0.8054,-0.5395,4.0718
0.3337,STABLE,STABLE,-0.3307,-0.3039,0.3727,0.2829,0.2189,0.7811,0.5648,0.5553,0.3492,1.9485,205.0000,0.0036,94.6858,36.9591,0.5648,0.1443,0.4726,0.2736,0.0498,0.0100,0.0249,0.0149,0.0100,159.3929,106.8652,0.3315,1.0799,0.3826,2.3506,0.0007,-0.0000,0.0630,0.0619,0.4916,1.1266,0.8370,0.7031,0.4006,0.6449,0.3423,0.2018,0.3300,0.1026,0.1608,0.1036,0.9981,0.2391,0.9034,0.3076,0.6526,-0.0002,0.9933,-0.1743,0.5535,1.2626,-0.0000,-0.0000,1.0000,0.0843,6353.7031,62.6274,1231.5713,0.5002,0.1856,30.1203,0.4889,0.8250,-0.2925,3.3300
0.4004,STABLE,STABLE,0.0232,0.0079,0.2324,0.2961,0.5343,0.4657,0.2980,0.2396,0.3466,4.1715,216.0000,0.0037,90.1688,37.4973,0.2980,0.2010,0.0980,0.0588,0.0343,0.0588,0.1078,0.1569,0.2843,156.3083,92.3368,0.1529,0.5034,0.1886,2.6200,-0.0016,-0.0000,0.0472,0.0483,0.4786,0.9568,0.2247,0.2756,0.1915,0.3035,0.1293,0.1881,0.2177,0.0697,0.1040,-0.0936,0.9999,0.2336,-0.2869,0.2411,0.5309,0.0013,0.9976,0.0365,0.5321,-0.0908,-0.0000,-0.0000,1.0000,0.0837,6453.8564,62.8120,1271.4564,0.5309,0.1791,29.9816,0.4944,0.8176,-0.0951,2.5881
0.4671,STABLE,STABLE,0.0536,0.0594,0.3114,0.3079,0.6186,0.3814,0.3280,0.1961,0.6693,6.4435,217.0000,0.0038,91.0836,36.5017,0.3280,0.0558,0.0279,0.0558,0.0698,0.2233,0.3721,0.1442,0.0512,161.4337,93.9878,0.1313,0.3891,0.2248,5.0544,-0.0001,0.0000,0.0678,0.0443,0.4968,2.0141,0.2196,0.1656,0.1274,0.3239,0.1234,0.1520,0.1549,0.0561,0.1387,-0.0128,1.0003,-0.0776,-0.1489,0.2868,0.6489,0.0009,0.9997,-0.0091,0.0357,-0.0606,-0.0000,-0.0000,0.9907,0.0834,6552.8403,62.6025,1252.3282,0.5352,0.1688,30.1203,0.4889,0.8250,0.0529,5.4613
0.5339,STABLE,STABLE,0.2041,0.1703,0.4825,0.6828,0.7606,0.2394,0.4910,0.3475,1.1711,16.7193,219.0000,0.0038,93.8139,36.1035,0.4910,0.0188,0.0141,0.0376,0.0376,0.2019,0.5352,0.1221,0.0329,165.5800,101.2407,0.2038,0.7943,0.3024,2.1041,0.0011,0.0000,0.0574,0.0576,0.5166,0.8030,0.5511,0.5225,0.4370,0.3802,0.1946,0.1549,0.1405,0.0767,0.1077,-0.0053,1.0014,-0.3278,-0.3896,0.3711,0.8706,-0.0006,1.0026,0.0166,-0.2994,-0.6053,-0.0000,0.0000,0.9953,0.0851,6680.3183,62.8262,1268.5715,0.5177,0.1647,30.2564,0.4944,0.8324,0.6338,-2.8764
0.6006,STABLE,STABLE,-0.0869,-0.0699,0.1418,0.1089,0.2431,0.7569,0.1870,0.1759,0.1351,0.7438,222.0000,0.0039,95.0253,36.2428,0.1870,0.0734,0.3853,0.3349,0.0688,0.0550,0.0275,0.0183,0.0367,161.1777,106.8218,0.1091,0.4025,0.1476,1.9090,0.0000,-0.0000,0.0356,0.0358,0.4721,0.6756,0.2381,0.2219,0.1321,0.2435,0.1191,0.0808,0.1643,0.0768,0.0462,0.0376,0.9995,0.0442,0.2883,0.1272,0.3074,0.0004,0.9981,-0.0642,0.1671,0.4094,-0.0000,-0.0000,1.0000,0.0835,6749.2930,62.8645,1256.5190,0.5444,0.1584,30.0184,0.5000,0.8493,-0.3310,-11.7455
