time_s,state,phase,radial_expansion,radial_expansion_median,radial_std,radial_p95,outward_frac,inward_frac,pt_displacement_mean,pt_displacement_median,pt_displacement_std,pt_displacement_max,point_count,point_density,feature_radius_mean,feature_radius_std,flow_magnitude,flow_dir_hist_0,flow_dir_hist_1,flow_dir_hist_2,flow_dir_hist_3,flow_dir_hist_4,flow_dir_hist_5,flow_dir_hist_6,flow_dir_hist_7,foe_x,foe_y,flow_median,flow_p95,flow_std,flow_max,div_mean,div_median,div_std,div_p95,div_pos_frac,div_max,grid_flow_00,grid_flow_01,grid_flow_02,grid_flow_10,grid_flow_11,grid_flow_12,grid_flow_20,grid_flow_21,grid_flow_22,cam_rotation,cam_scale,cam_tx,cam_ty,residual_flow_mean,residual_flow_p95,residual_div,hom_scale,hom_rotation,hom_tx,hom_ty,hom_persp_x,hom_persp_y,hom_ok,edge_density,texture_var,grad_magnitude_mean,sharpness,sky_fraction,ground_fraction,horizon_angle,horizon_pos,horizon_conf,expansion_rate,expansion_acceleration
0.0000,STABLE,APOGEE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,228.0000,0.0030,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0199,2590.7431,37.1366,168.4873,0.2349,0.7382,74.0546,0.4750,0.5824,-2.4515,-0.0795
0.1667,STABLE,APOGEE,-5.1794,-5.3076,4.3318,1.7233,0.1694,0.8306,7.1765,6.6163,4.4421,17.9035,268.0000,0.0035,71.9126,42.1227,7.1765,0.3306,0.0887,0.0242,0.0161,0.0645,0.1129,0.1210,0.2419,229.5111,91.5294,3.1794,11.6435,3.8270,17.8166,-0.0022,-0.0065,0.2881,0.4428,0.4694,3.3175,2.7780,8.1986,6.6606,2.4120,7.1247,3.2668,2.8320,2.2406,2.4806,-2.8193,0.9165,26.6078,-2.4167,4.4772,17.9843,0.0056,1.0144,4.1677,17.9174,-3.5015,0.0005,-0.0005,0.8306,0.0196,2570.7793,27.7985,126.5398,0.2103,0.6873,36.8699,0.8042,0.3250,-2.4647,0.0115
0.3333,STABLE,APOGEE,3.0963,0.8898,9.1360,16.6455,0.5926,0.4074,12.4678,14.0500,7.4228,33.5618,168.0000,0.0022,78.8749,39.3769,12.4678,0.0296,0.0074,0.0148,0.0444,0.0593,0.0074,0.4444,0.3926,216.4260,111.4248,2.0530,17.2586,5.9619,21.0625,-0.0026,-0.0001,0.3943,0.5883,0.4904,4.3371,1.3634,6.1667,7.7234,2.9775,7.6319,11.0100,2.4573,2.5441,3.3388,-0.5765,0.9515,23.3730,-8.8124,7.7879,23.9104,0.0753,0.7986,-1.2067,52.8037,-2.1308,-0.0003,-0.0004,0.6741,0.0185,2518.7744,25.1226,118.1347,0.2167,0.6657,40.1355,0.7958,0.3335,-2.4477,0.1935
0.5000,STABLE,APOGEE,0.0204,0.0002,0.1945,0.2933,0.5238,0.4702,0.1912,0.1730,0.1971,1.1239,173.0000,0.0023,85.4679,41.6962,0.1912,0.1190,0.0714,0.0893,0.1190,0.1131,0.1964,0.1905,0.1012,216.0759,116.1160,0.0885,0.4340,0.1648,2.0835,0.0001,-0.0000,0.0341,0.0452,0.4904,0.7798,0.2058,0.2693,0.1387,0.1489,0.1079,0.1927,0.0677,0.0311,0.0998,0.0146,1.0002,-0.0969,-0.0403,0.1966,0.5890,0.0006,1.0022,0.0619,-0.2239,-0.3449,0.0000,-0.0000,1.0000,0.0177,2517.8519,25.3925,113.0016,0.2271,0.6634,40.1355,0.7958,0.3335,-2.4002,0.3755
0.6667,ASCEND,DESCEND,2.9857,0.2919,13.5655,27.2699,0.6833,0.3167,15.3994,13.3896,14.3651,37.1085,88.0000,0.0011,72.3983,42.6646,15.3994,0.0500,0.1167,0.5667,0.1167,0.0333,0.0167,0.0000,0.1000,215.0000,141.4862,0.8039,11.1298,3.8025,25.6650,0.0001,0.0000,0.3562,0.4948,0.5070,4.2334,0.3321,1.6375,2.5980,2.6872,2.1805,6.2446,0.8921,3.1492,2.7707,-0.0023,1.0032,-0.7604,-0.5267,15.4566,34.0535,0.2699,1.1192,10.4898,-3.1300,-13.1556,0.0004,0.0004,0.5000,0.0167,2352.0602,21.9141,87.3524,0.1902,0.7277,37.5686,0.8000,0.3280,-2.3225,0.5575
0.8333,STABLE,DESCEND,-2.7745,-0.1343,4.9881,2.5254,0.4179,0.5821,5.7228,3.8961,5.0515,13.8233,122.0000,0.0016,76.7160,45.6939,5.7228,0.0448,0.1045,0.0448,0.1194,0.1194,0.3731,0.0597,0.1343,205.8919,152.3759,0.5955,10.5557,3.3707,15.6425,-0.0002,0.0000,0.3151,0.3482,0.5085,4.4881,0.2102,2.8580,3.9084,1.0514,1.9497,4.6916,0.3652,2.1087,3.0416,-0.0318,1.0020,0.0164,-0.6858,5.7912,12.9319,-0.1447,0.9321,0.8998,7.2206,16.3462,0.0004,-0.0003,0.6119,0.0151,2395.0619,21.9843,87.0360,0.1850,0.7216,38.2544,0.8042,0.3311,-2.2144,0.7395
1.0000,DESCEND,DESCEND,3.6419,2.3665,5.3292,13.4798,0.7980,0.2020,6.1218,4.8914,5.4028,14.4271,120.0000,0.0016,93.7689,39.6084,6.1218,0.3838,0.0202,0.0303,0.0909,0.0808,0.0202,0.0707,0.3030,195.9796,147.9228,0.3801,11.4011,3.5757,15.0061,-0.0003,0.0012,0.2733,0.2812,0.5346,3.9263,0.1412,3.2689,2.5330,0.4780,2.3902,5.0656,0.4264,2.4618,2.7801,-0.0783,1.0043,-0.5395,-1.1743,6.0250,13.6502,0.1688,0.9750,0.7596,20.0920,-5.9633,-0.0000,-0.0001,0.5859,0.0170,2306.8668,21.4044,79.7226,0.1767,0.7114,35.6398,0.7167,0.3261,-2.0760,0.9215
1.1667,DESCEND,DESCEND,-3.7799,-0.5750,5.8190,2.4993,0.3580,0.6420,8.7789,7.4712,9.0781,28.3309,216.0000,0.0028,92.4652,44.2313,8.7789,0.1728,0.2840,0.1481,0.1481,0.0617,0.0617,0.0494,0.0741,204.4030,157.1468,0.6085,9.3382,3.0262,17.0231,-0.0003,-0.0000,0.3128,0.4211,0.4990,4.3884,0.2916,1.6817,2.2611,0.8765,2.0435,3.8707,0.6050,2.5508,4.1547,-0.0265,0.9988,0.4759,0.2206,8.7145,26.2883,-0.0963,0.9317,2.4033,23.2366,18.4412,0.0002,-0.0003,0.6667,0.0141,2278.8370,22.7950,92.4917,0.1698,0.7056,38.3952,0.8000,0.3381,-1.9072,2.2358
1.3333,STABLE,DESCEND,-2.7104,-0.3227,7.7040,10.3654,0.3500,0.6500,8.4542,3.8456,8.4147,28.8639,114.0000,0.0015,98.7392,39.1263,8.4542,0.1000,0.1125,0.0375,0.2750,0.2250,0.0750,0.0625,0.1125,182.8892,155.6101,0.5777,5.5350,1.8321,11.6482,-0.0000,-0.0000,0.2407,0.3680,0.4977,2.2358,0.3333,1.3478,2.0357,0.8265,1.7597,1.9844,0.8077,1.8022,1.5141,0.2152,0.9946,0.4717,2.0616,8.3611,21.3525,-0.1138,0.9663,-0.2914,2.4368,5.2165,-0.0000,-0.0001,0.5250,0.0146,2345.8920,20.0910,80.1636,0.1742,0.7163,37.5686,0.8000,0.3280,-1.3307,-4.7684
1.5000,DESCEND,DESCEND,-0.0180,0.0000,0.0798,0.0010,0.3596,0.3596,0.0722,0.0003,0.2378,1.9137,164.0000,0.0021,96.8200,39.7399,0.0722,0.3772,0.0614,0.0614,0.1053,0.1316,0.0877,0.0702,0.1053,193.4386,142.4172,0.0000,0.2546,0.1342,1.3987,-0.0000,0.0000,0.0169,0.0094,0.5092,0.4729,0.0001,0.0659,0.0357,0.0032,0.1614,0.0811,0.0000,0.0072,0.0069,0.0138,0.9998,-0.0186,0.0465,0.0973,0.3119,0.0003,0.9990,0.0040,0.1514,0.0289,0.0000,-0.0000,1.0000,0.0146,2345.3229,20.0893,79.9936,0.1887,0.7132,37.5686,0.8000,0.3280,-3.4967,-10.2008
