time_s,state,phase,radial_expansion,radial_expansion_median,radial_std,radial_p95,outward_frac,inward_frac,pt_displacement_mean,pt_displacement_median,pt_displacement_std,pt_displacement_max,point_count,point_density,feature_radius_mean,feature_radius_std,flow_magnitude,flow_dir_hist_0,flow_dir_hist_1,flow_dir_hist_2,flow_dir_hist_3,flow_dir_hist_4,flow_dir_hist_5,flow_dir_hist_6,flow_dir_hist_7,foe_x,foe_y,flow_median,flow_p95,flow_std,flow_max,div_mean,div_median,div_std,div_p95,div_pos_frac,div_max,grid_flow_00,grid_flow_01,grid_flow_02,grid_flow_10,grid_flow_11,grid_flow_12,grid_flow_20,grid_flow_21,grid_flow_22,cam_rotation,cam_scale,cam_tx,cam_ty,residual_flow_mean,residual_flow_p95,residual_div,hom_scale,hom_rotation,hom_tx,hom_ty,hom_persp_x,hom_persp_y,hom_ok,edge_density,texture_var,grad_magnitude_mean,sharpness,sky_fraction,ground_fraction,horizon_angle,horizon_pos,horizon_conf,expansion_rate,expansion_acceleration
0.0000,STABLE,STABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,500.0000,0.0016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2576,1693.6373,139.8759,2213.8584,0.4856,0.3715,-35.0165,0.5125,0.9585,-0.6471,9.5006
0.0334,STABLE,STABLE,-0.0110,-0.0007,0.0525,0.0702,0.3920,0.6000,0.0466,0.0183,0.0633,0.3781,500.0000,0.0016,197.4928,101.2332,0.0466,0.0740,0.2500,0.2760,0.1440,0.1140,0.0500,0.0460,0.0460,175.9237,176.1836,0.0189,0.1726,0.0647,0.6759,-0.0001,-0.0000,0.0087,0.0103,0.4897,0.1787,0.0719,0.0354,0.0280,0.0690,0.0176,0.0357,0.0731,0.0250,0.0427,0.0081,1.0000,-0.0198,0.0773,0.0446,0.1185,-0.0001,0.9999,-0.0122,0.0057,0.0947,-0.0000,-0.0000,1.0000,0.2568,1684.6701,139.1383,2144.8303,0.4702,0.3542,-35.9952,0.5104,0.9826,-0.3301,8.7268
0.0667,STABLE,STABLE,-0.0173,-0.0009,0.0623,0.0640,0.3840,0.6160,0.0518,0.0239,0.0698,0.4713,500.0000,0.0016,197.3951,101.2312,0.0518,0.0580,0.1940,0.2600,0.1660,0.1280,0.0760,0.0640,0.0540,176.6534,173.2595,0.0257,0.2096,0.0799,1.1355,0.0000,0.0000,0.0108,0.0134,0.5061,0.1826,0.0827,0.0670,0.0536,0.0598,0.0176,0.0449,0.0825,0.0306,0.0477,0.0058,0.9999,-0.0165,0.0611,0.0505,0.1810,-0.0001,0.9997,-0.0067,-0.0008,0.1024,-0.0000,-0.0000,1.0000,0.2567,1681.5438,138.8759,2108.4116,0.4703,0.3544,-33.9876,0.4771,0.9347,-0.0647,7.1792
0.1001,STABLE,STABLE,-0.0116,-0.0011,0.0394,0.0512,0.3660,0.6340,0.0354,0.0175,0.0420,0.3172,500.0000,0.0016,197.2277,101.0438,0.0354,0.0680,0.2240,0.2620,0.1460,0.1220,0.0640,0.0520,0.0620,177.3933,172.7888,0.0187,0.1007,0.0433,0.5683,-0.0001,-0.0000,0.0062,0.0082,0.4863,0.1930,0.0703,0.0367,0.0298,0.0422,0.0141,0.0241,0.0454,0.0217,0.0348,0.0049,0.9999,-0.0058,0.0526,0.0329,0.0625,-0.0001,0.9998,-0.0090,0.0274,0.0773,-0.0000,-0.0000,1.0000,0.2572,1682.4345,138.9597,2103.0605,0.4706,0.3551,32.8903,0.4437,0.9438,0.1490,5.6316
0.1335,STABLE,STABLE,0.0088,0.0006,0.0501,0.0946,0.5640,0.4360,0.0470,0.0227,0.0601,0.4883,500.0000,0.0016,192.7660,94.4029,0.0470,0.0860,0.0540,0.0440,0.1260,0.1940,0.2140,0.1820,0.1000,199.6118,176.8757,0.0390,0.2164,0.1333,3.1968,-0.0001,-0.0000,0.0182,0.0163,0.4946,0.8450,0.0520,0.0595,0.0772,0.0618,0.0419,0.1266,0.0749,0.0869,0.0575,0.0010,1.0001,-0.0275,-0.0328,0.0502,0.1253,0.0000,1.0000,-0.0030,-0.0297,-0.0316,-0.0000,0.0000,1.0000,0.2564,1676.4309,138.3921,2054.6985,0.4723,0.3545,31.9569,0.4354,0.9400,0.3111,4.0840
0.1668,STABLE,STABLE,0.0071,0.0004,0.0497,0.0925,0.5360,0.4640,0.0424,0.0219,0.0522,0.6248,500.0000,0.0016,190.8952,91.0066,0.0424,0.0800,0.0520,0.0380,0.1100,0.2000,0.2200,0.1820,0.1180,213.6081,177.4395,0.0340,0.1486,0.1307,3.6195,-0.0001,-0.0000,0.0182,0.0138,0.4963,0.5116,0.0524,0.0559,0.0656,0.0525,0.0300,0.1176,0.0422,0.0633,0.0535,0.0004,1.0000,-0.0175,-0.0292,0.0450,0.1200,0.0000,1.0001,-0.0001,-0.0301,-0.0406,-0.0000,0.0000,1.0000,0.2568,1680.3203,138.7331,2062.0037,0.4708,0.3577,32.8903,0.4688,0.9438,0.4215,2.5364
0.2002,STABLE,STABLE,0.0035,0.0007,0.0450,0.0860,0.5624,0.4376,0.0444,0.0212,0.0511,0.3561,500.0000,0.0016,181.2971,83.3088,0.0444,0.1607,0.0951,0.0994,0.0761,0.1205,0.1522,0.1522,0.1438,213.9079,176.2663,0.0368,0.3888,1.0751,10.0345,-0.0011,0.0000,0.0852,0.0174,0.5105,2.7009,0.0635,0.0412,0.0487,0.0487,0.0177,0.0805,0.0863,0.9089,1.0686,-0.0084,1.0000,0.0277,-0.0505,0.0447,0.1082,0.0000,1.0002,0.0091,0.0074,-0.0668,0.0000,0.0000,1.0000,0.2503,1669.3969,133.3871,1873.8541,0.4733,0.3567,-35.8847,0.4688,0.9596,0.4803,0.9888
0.2336,STABLE,STABLE,0.0064,0.0007,0.0503,0.1036,0.5560,0.4440,0.0549,0.0226,0.0672,0.3782,500.0000,0.0016,180.7652,83.8044,0.0549,0.1460,0.0840,0.1000,0.0660,0.1160,0.1660,0.1640,0.1580,212.6595,175.0852,0.0388,0.3336,1.0549,12.3147,0.0006,0.0000,0.0924,0.0175,0.5020,3.8082,0.0751,0.0447,0.0603,0.0462,0.0189,0.1307,0.1233,0.7744,1.0303,-0.0127,1.0000,0.0400,-0.0771,0.0561,0.1325,0.0000,1.0003,0.0134,0.0157,-0.0950,0.0000,0.0000,1.0000,0.2560,1672.7433,137.9070,1990.6581,0.4713,0.3566,-37.0492,0.5062,0.9585,0.4875,-0.6060
0.2669,STABLE,STABLE,0.0831,0.0747,0.1598,0.3617,0.6720,0.3280,0.2117,0.1717,0.1300,0.5686,500.0000,0.0016,182.7348,87.0487,0.2117,0.0800,0.0160,0.0160,0.0100,0.0340,0.2920,0.4020,0.1500,198.3253,183.4631,0.1327,0.3962,0.1481,3.3419,0.0003,0.0000,0.0170,0.0198,0.5068,0.5166,0.3057,0.2680,0.1745,0.2311,0.0918,0.0990,0.1617,0.0526,0.0415,-0.0342,1.0003,0.0606,-0.3713,0.1042,0.2206,0.0002,1.0012,0.0472,-0.0274,-0.5015,0.0000,0.0000,1.0000,0.2545,1651.9452,136.0762,1817.0887,0.4743,0.3546,34.0698,0.4521,0.9416,0.4399,-2.1154
0.3003,STABLE,STABLE,0.0027,0.0002,0.0780,0.1271,0.5300,0.4660,0.0832,0.0848,0.0734,0.5057,500.0000,0.0016,182.0516,86.1969,0.0832,0.1280,0.0580,0.0400,0.0280,0.0620,0.2500,0.2620,0.1720,201.7871,176.5291,0.0641,0.1988,0.1267,2.8605,0.0001,0.0000,0.0161,0.0147,0.5080,0.6473,0.0748,0.0604,0.1043,0.1377,0.0761,0.1201,0.0833,0.0371,0.0359,-0.0037,1.0000,0.0266,-0.0644,0.0800,0.1981,-0.0002,0.9999,0.0016,0.0157,-0.0330,-0.0000,-0.0000,1.0000,0.2551,1655.0788,136.3471,1807.9719,0.4732,0.3562,33.9388,0.4500,0.9583,0.3463,-3.5429
