time_s,state,phase,radial_expansion,radial_expansion_median,radial_std,radial_p95,outward_frac,inward_frac,pt_displacement_mean,pt_displacement_median,pt_displacement_std,pt_displacement_max,point_count,point_density,feature_radius_mean,feature_radius_std,flow_magnitude,flow_dir_hist_0,flow_dir_hist_1,flow_dir_hist_2,flow_dir_hist_3,flow_dir_hist_4,flow_dir_hist_5,flow_dir_hist_6,flow_dir_hist_7,foe_x,foe_y,flow_median,flow_p95,flow_std,flow_max,div_mean,div_median,div_std,div_p95,div_pos_frac,div_max,grid_flow_00,grid_flow_01,grid_flow_02,grid_flow_10,grid_flow_11,grid_flow_12,grid_flow_20,grid_flow_21,grid_flow_22,cam_rotation,cam_scale,cam_tx,cam_ty,residual_flow_mean,residual_flow_p95,residual_div,hom_scale,hom_rotation,hom_tx,hom_ty,hom_persp_x,hom_persp_y,hom_ok,edge_density,texture_var,grad_magnitude_mean,sharpness,sky_fraction,ground_fraction,horizon_angle,horizon_pos,horizon_conf,expansion_rate,expansion_acceleration
0.0000,STABLE,STABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,500.0000,0.0005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0400,2526.1667,39.5848,262.9748,0.6536,0.3462,-45.0000,0.5625,0.5951,-0.5889,6.9302
0.0334,STABLE,STABLE,-0.0000,0.0000,0.0012,0.0000,0.0420,0.0360,0.0001,0.0000,0.0019,0.0426,500.0000,0.0005,342.0329,202.0147,0.0001,0.9360,0.0060,0.0100,0.0100,0.0140,0.0060,0.0060,0.0120,506.0789,196.8177,0.0000,0.0004,0.0081,0.5812,-0.0000,-0.0000,0.0026,0.0000,0.4471,0.2854,0.0039,0.0017,0.0023,0.0005,0.0000,0.0001,0.0002,0.0000,0.0001,0.0000,1.0000,0.0000,0.0002,0.0002,0.0002,-0.0000,1.0000,-0.0000,0.0007,0.0008,-0.0000,-0.0000,1.0000,0.0400,2526.1713,39.5808,262.9688,0.6455,0.3439,0.0000,0.1389,0.7585,-0.3577,6.4722
0.0667,STABLE,STABLE,-0.0295,0.0000,0.2642,0.1139,0.3468,0.4758,0.1423,0.0009,0.3256,3.9843,500.0000,0.0005,311.4094,189.9639,0.1423,0.3871,0.0746,0.0968,0.1129,0.0887,0.0423,0.0645,0.1331,523.7631,267.2551,0.0000,0.3595,0.3274,9.3584,0.0000,0.0000,0.0399,0.0131,0.5057,3.0010,0.0420,0.0149,0.0098,0.2989,0.0377,0.0098,0.1285,0.0479,0.0399,0.0025,0.9999,0.1143,0.0984,0.1719,0.5028,-0.0002,1.0002,-0.0020,-0.0554,-0.0233,-0.0000,0.0000,1.0000,0.0396,2524.8633,39.3981,254.4698,0.6458,0.3437,-45.0000,0.5653,0.5990,-0.1570,5.5561
0.1001,STABLE,STABLE,0.0158,0.0001,0.2297,0.2711,0.5230,0.4188,0.1929,0.1572,0.2470,3.0926,500.0000,0.0005,301.3593,187.1844,0.1929,0.2004,0.2866,0.2505,0.0942,0.0561,0.0240,0.0301,0.0581,509.4698,315.0756,0.0094,0.3340,0.2057,4.7628,-0.0001,-0.0000,0.0262,0.0184,0.4972,1.8501,0.0979,0.0640,0.0100,0.2840,0.1081,0.0043,0.2433,0.0796,0.0544,0.0068,1.0000,-0.0482,0.1623,0.1741,0.4947,-0.0001,1.0003,-0.0015,-0.1228,0.0946,0.0000,0.0000,1.0000,0.0393,2524.6214,39.0860,237.2484,0.6465,0.3434,-45.0000,0.5625,0.5951,0.0131,4.6400
0.1335,STABLE,STABLE,-0.0095,-0.0003,0.2998,0.1900,0.4080,0.5760,0.1633,0.0666,0.3463,4.3508,500.0000,0.0005,296.1945,179.2496,0.1633,0.1860,0.1780,0.1780,0.0800,0.0800,0.0900,0.0720,0.1360,528.5450,348.9541,0.0030,0.2958,0.3048,9.5143,-0.0000,0.0000,0.0372,0.0157,0.5011,2.5086,0.0475,0.0501,0.0209,0.3013,0.0753,0.0137,0.1741,0.0460,0.0346,0.0010,1.0000,0.0536,0.0526,0.1742,0.4754,-0.0003,1.0000,0.0073,0.0280,-0.0071,0.0000,-0.0000,1.0000,0.0392,2523.1496,39.0039,232.6956,0.6466,0.3432,-43.9786,0.5569,0.5942,0.1526,3.7239
0.1668,STABLE,STABLE,-0.0158,-0.0002,0.2495,0.1935,0.3367,0.5591,0.1410,0.0268,0.2665,2.3452,500.0000,0.0005,294.9811,174.0030,0.1410,0.2685,0.1383,0.1463,0.0802,0.0721,0.0581,0.0922,0.1443,540.9173,376.2906,0.0001,0.2901,0.2654,6.6921,0.0000,0.0000,0.0319,0.0145,0.5085,1.7968,0.0587,0.0385,0.0283,0.2530,0.0735,0.0252,0.1698,0.0260,0.0438,-0.0010,1.0000,0.0406,0.0016,0.1488,0.4848,-0.0002,1.0001,0.0113,-0.0493,-0.0515,0.0000,-0.0000,1.0000,0.0395,2523.8527,39.1206,233.4715,0.6465,0.3432,-45.0000,0.5625,0.5913,0.2616,2.8079
0.2002,STABLE,STABLE,-0.0093,0.0000,0.2108,0.1321,0.4640,0.4720,0.1002,0.0074,0.2401,2.2848,500.0000,0.0005,296.4481,169.2597,0.1002,0.1820,0.1080,0.0860,0.0980,0.1060,0.1360,0.1580,0.1260,552.8070,399.6240,0.0012,0.2591,0.1678,4.8042,-0.0000,0.0000,0.0223,0.0124,0.5043,1.0515,0.0298,0.0230,0.0155,0.1951,0.0477,0.0159,0.0811,0.0338,0.0550,0.0041,1.0000,-0.0124,0.0399,0.1096,0.3861,-0.0001,1.0001,-0.0015,-0.0257,0.0444,0.0000,-0.0000,1.0000,0.0392,2524.5019,39.0075,228.8837,0.6470,0.3428,-45.0000,0.5639,0.5932,0.3400,1.8918
0.2336,STABLE,STABLE,-0.0397,0.0000,0.2648,0.1324,0.4640,0.4600,0.1343,0.0434,0.2830,2.7889,500.0000,0.0005,295.6953,172.4906,0.1343,0.1620,0.0620,0.0500,0.0820,0.0880,0.2380,0.2000,0.1180,539.1312,397.8596,0.0003,0.2648,0.2348,5.5966,-0.0000,-0.0000,0.0284,0.0127,0.4970,1.5849,0.0417,0.0277,0.0151,0.2480,0.0367,0.0201,0.1681,0.0354,0.0330,-0.0048,0.9999,0.1280,-0.0441,0.1467,0.3872,-0.0000,0.9996,-0.0040,0.1984,0.0398,-0.0000,0.0000,1.0000,0.0392,2523.7230,38.9655,230.2153,0.6472,0.3430,-37.9265,0.5694,0.6647,0.3879,0.8275
0.2669,STABLE,STABLE,0.0359,0.0001,0.1999,0.2805,0.5371,0.3768,0.1373,0.0668,0.2018,1.7430,500.0000,0.0005,298.1049,176.0864,0.1373,0.1403,0.0521,0.0621,0.0922,0.1303,0.2565,0.2144,0.0521,519.6224,423.6650,0.0004,0.3063,0.1788,5.7244,0.0000,-0.0000,0.0253,0.0143,0.4878,2.2364,0.0597,0.0583,0.0136,0.2273,0.0597,0.0204,0.1943,0.0189,0.0433,-0.0083,1.0001,-0.0084,-0.1754,0.1406,0.3102,0.0004,1.0002,0.0120,-0.0914,-0.2229,0.0000,0.0000,1.0000,0.0390,2523.4981,38.9482,232.1222,0.6472,0.3427,-45.0000,0.5625,0.5951,0.3952,1.1440
0.3003,STABLE,STABLE,0.0742,0.0011,0.2509,0.3483,0.6333,0.3487,0.1556,0.0764,0.2782,2.9121,500.0000,0.0005,299.3333,171.3452,0.1556,0.0721,0.0261,0.0501,0.1062,0.2786,0.2285,0.1623,0.0762,533.0791,438.2900,0.0055,0.3064,0.2313,6.0845,-0.0000,-0.0000,0.0305,0.0142,0.4990,1.7080,0.0692,0.0338,0.0142,0.2818,0.0660,0.0125,0.1786,0.0573,0.0537,-0.0089,1.0002,-0.1014,-0.2228,0.1648,0.3991,0.0002,1.0003,0.0187,-0.1958,-0.2508,0.0000,-0.0000,1.0000,0.0391,2523.9388,39.1225,237.7252,0.6466,0.3433,-0.9899,0.1500,0.6306,0.4642,0.7206
0.3337,STABLE,STABLE,0.0554,0.0000,0.1781,0.3179,0.4940,0.2760,0.0951,0.0007,0.2293,2.7861,500.0000,0.0005,300.5898,172.1394,0.0951,0.3200,0.0340,0.0640,0.1460,0.1540,0.0920,0.0980,0.0920,534.4317,439.4329,0.0000,0.2611,0.1819,4.9432,0.0000,0.0000,0.0206,0.0080,0.5002,1.2665,0.0532,0.0083,0.0054,0.1960,0.0348,0.0025,0.0614,0.0268,0.0384,-0.0031,1.0001,-0.0875,-0.0970,0.1233,0.3613,0.0004,1.0000,0.0035,-0.0451,-0.0546,0.0000,-0.0000,1.0000,0.0393,2523.2697,39.2131,239.7686,0.6463,0.3435,-45.0000,0.5639,0.5970,0.4433,1.0730
0.3670,STABLE,STABLE,0.0333,0.0000,0.1798,0.2983,0.4020,0.2760,0.0979,0.0007,0.2025,2.0996,500.0000,0.0005,300.3539,173.7715,0.0979,0.4340,0.0540,0.0700,0.1640,0.1260,0.0460,0.0420,0.0640,528.1241,438.2938,0.0000,0.2667,0.1957,7.1158,0.0000,-0.0000,0.0261,0.0108,0.4814,2.5828,0.0422,0.0063,0.0022,0.1837,0.0257,0.0028,0.1348,0.0548,0.0395,0.0033,1.0001,-0.0910,0.0283,0.1162,0.3931,0.0005,1.0000,-0.0087,-0.0323,0.0667,-0.0000,0.0000,1.0000,0.0388,2522.3725,38.9813,234.8166,0.6469,0.3436,-1.0901,0.1486,0.6443,0.5358,1.1139
0.4004,STABLE,STABLE,-0.0123,0.0000,0.3554,0.2644,0.4520,0.3080,0.1246,0.0012,0.3651,6.3195,500.0000,0.0005,299.6588,174.8260,0.1246,0.3880,0.0880,0.1100,0.1420,0.1020,0.0320,0.0620,0.0760,524.5980,434.3031,0.0000,0.2740,0.3068,7.3511,0.0000,-0.0000,0.0336,0.0118,0.4909,2.8255,0.0285,0.0092,0.0008,0.2781,0.0354,0.0004,0.1888,0.0350,0.0219,0.0055,1.0000,-0.0258,0.0995,0.1432,0.5008,0.0003,0.9996,-0.0201,0.1751,0.1998,-0.0000,0.0000,0.9980,0.0386,2522.7797,38.9252,235.2731,0.6471,0.3432,-45.0000,0.5556,0.5778,0.5177,1.0054
0.4338,STABLE,STABLE,-0.0578,-0.0240,0.2156,0.2110,0.3800,0.6160,0.2024,0.1618,0.2088,1.7448,500.0000,0.0005,301.3628,176.7511,0.2024,0.1560,0.3500,0.2620,0.1160,0.0320,0.0120,0.0160,0.0560,516.3354,443.5013,0.0350,0.3677,0.1945,4.5142,-0.0000,-0.0000,0.0246,0.0243,0.4976,1.6115,0.1109,0.0726,0.0226,0.3121,0.1324,0.0256,0.2073,0.0664,0.0499,0.0121,0.9999,0.0034,0.2945,0.1580,0.4013,0.0000,0.9997,-0.0223,0.1119,0.3524,-0.0000,0.0000,1.0000,0.0386,2521.8986,38.8818,232.9920,0.6469,0.3431,0.0000,0.1389,0.6755,0.6029,2.5078
0.4671,STABLE,STABLE,0.0107,0.0000,0.1561,0.2724,0.4000,0.4080,0.0962,0.0047,0.1634,1.5156,500.0000,0.0005,300.2209,176.6164,0.0962,0.3140,0.1380,0.1340,0.1460,0.0780,0.0480,0.0520,0.0900,517.4947,437.3358,0.0000,0.2581,0.1162,2.7455,-0.0000,0.0000,0.0139,0.0100,0.5047,0.7934,0.0550,0.0168,0.0012,0.1662,0.0259,0.0022,0.0515,0.0376,0.0193,0.0019,1.0000,-0.0323,0.0398,0.1068,0.4107,0.0004,0.9996,-0.0115,0.1734,0.1873,-0.0000,-0.0000,1.0000,0.0390,2522.6426,38.9736,235.4463,0.6466,0.3431,33.9436,0.6611,0.5122,0.6850,-2.2727
0.5005,STABLE,STABLE,0.0322,0.0000,0.1480,0.2576,0.3400,0.2420,0.0726,0.0002,0.1597,1.6946,500.0000,0.0005,298.6753,176.5479,0.0726,0.4900,0.0740,0.0740,0.1180,0.1020,0.0480,0.0540,0.0400,519.0629,427.6200,0.0000,0.2359,0.1396,4.1291,0.0000,-0.0000,0.0167,0.0052,0.4912,1.2333,0.0216,0.0071,0.0019,0.1187,0.0260,0.0002,0.0730,0.0374,0.0157,0.0010,1.0001,-0.0849,-0.0127,0.0925,0.3176,0.0002,1.0002,-0.0003,-0.1116,-0.0118,0.0000,0.0000,1.0000,0.0391,2523.0200,39.0518,237.7196,0.6466,0.3433,-45.0000,0.5653,0.5990,0.4512,-6.4088
0.5339,STABLE,STABLE,0.0233,0.0005,0.1723,0.2438,0.5220,0.4780,0.1086,0.0483,0.2004,2.9320,500.0000,0.0005,298.1442,170.7773,0.1086,0.1080,0.0740,0.1000,0.1960,0.2360,0.1080,0.1100,0.0680,542.5774,422.2242,0.0276,0.2638,0.1762,5.5371,-0.0000,0.0000,0.0243,0.0214,0.5035,1.4290,0.0669,0.0387,0.0276,0.2082,0.0721,0.0406,0.0972,0.0600,0.0564,-0.0009,1.0000,-0.0664,-0.0153,0.1169,0.3215,0.0002,1.0001,-0.0008,-0.1014,0.0069,-0.0000,0.0000,1.0000,0.0385,2521.9987,38.7364,225.1233,0.6474,0.3435,-1.0416,0.1472,0.5993,0.2573,-6.3695
0.5672,STABLE,STABLE,0.0167,0.0000,0.2419,0.2875,0.3980,0.2840,0.0926,0.0008,0.2663,3.8706,500.0000,0.0005,301.5298,174.6910,0.0926,0.3840,0.0500,0.0620,0.1140,0.1680,0.1140,0.0600,0.0480,523.3357,444.4772,0.0000,0.2746,0.1957,4.7555,-0.0000,0.0000,0.0265,0.0110,0.5014,1.6774,0.0001,0.0006,0.0001,0.2286,0.0236,0.0067,0.1849,0.0239,0.0493,-0.0016,1.0000,-0.0554,-0.0347,0.1142,0.3768,0.0001,1.0001,0.0037,-0.1051,-0.0205,0.0000,0.0000,1.0000,0.0387,2522.3427,38.7591,223.2669,0.6476,0.3431,11.9867,0.4722,0.6557,0.0262,-7.2101
