time_s,state,phase,radial_expansion,radial_expansion_median,radial_std,radial_p95,outward_frac,inward_frac,pt_displacement_mean,pt_displacement_median,pt_displacement_std,pt_displacement_max,point_count,point_density,feature_radius_mean,feature_radius_std,flow_magnitude,flow_dir_hist_0,flow_dir_hist_1,flow_dir_hist_2,flow_dir_hist_3,flow_dir_hist_4,flow_dir_hist_5,flow_dir_hist_6,flow_dir_hist_7,foe_x,foe_y,flow_median,flow_p95,flow_std,flow_max,div_mean,div_median,div_std,div_p95,div_pos_frac,div_max,grid_flow_00,grid_flow_01,grid_flow_02,grid_flow_10,grid_flow_11,grid_flow_12,grid_flow_20,grid_flow_21,grid_flow_22,cam_rotation,cam_scale,cam_tx,cam_ty,residual_flow_mean,residual_flow_p95,residual_div,hom_scale,hom_rotation,hom_tx,hom_ty,hom_persp_x,hom_persp_y,hom_ok,edge_density,texture_var,grad_magnitude_mean,sharpness,sky_fraction,ground_fraction,horizon_angle,horizon_pos,horizon_conf,expansion_rate,expansion_acceleration
0.0000,STABLE,STABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,500.0000,0.0022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1991,1936.6211,106.8182,1818.6433,0.6788,0.3888,30.9344,0.4889,0.9113,-0.0188,0.3089
0.0334,STABLE,STABLE,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,500.0000,0.0022,nan,nan,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,nan,0.0000,0.0000,0.0014,0.0775,0.0000,-0.0000,0.0005,0.0000,0.4249,0.0291,0.0000,0.0001,0.0002,0.0001,0.0000,0.0001,0.0001,0.0000,0.0002,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,nan,1.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,1.0000,0.1991,1936.6211,106.8182,1818.6433,0.6472,0.3592,30.9344,0.4889,0.9113,-0.0085,0.2782
0.0667,STABLE,STABLE,-0.0154,-0.0002,0.1208,0.2191,0.4040,0.5940,0.1002,0.0603,0.1035,0.3740,500.0000,0.0022,223.2855,75.9932,0.1002,0.2220,0.0660,0.0520,0.1600,0.1940,0.0600,0.0520,0.1940,294.0324,132.3458,0.0412,0.2648,0.0996,0.6189,-0.0001,-0.0000,0.0138,0.0209,0.4969,0.1458,0.0881,0.1022,0.0777,0.0858,0.1305,0.1395,0.0578,0.0024,0.1070,0.0017,0.9999,0.0312,0.0183,0.1044,0.2835,0.0001,0.9999,-0.0021,0.0516,0.0195,0.0000,-0.0000,1.0000,0.2016,1925.0634,106.2686,1699.4878,0.6477,0.3594,-19.0811,0.3500,0.9165,-0.0002,0.2168
0.1001,STABLE,STABLE,0.0076,0.0170,0.2214,0.3456,0.5380,0.4620,0.3086,0.3052,0.1149,0.6452,500.0000,0.0022,223.6636,83.7109,0.3086,0.0100,0.1380,0.2580,0.2260,0.1880,0.0980,0.0560,0.0260,278.8726,103.4093,0.2535,0.4602,0.1603,1.3226,0.0001,0.0000,0.0207,0.0274,0.5037,0.6450,0.3605,0.2477,0.2713,0.2919,0.1046,0.2499,0.1966,0.0009,0.1888,0.0555,1.0000,-0.2636,0.3821,0.1449,0.3140,0.0000,1.0002,-0.0467,-0.3924,0.3563,0.0000,0.0000,1.0000,0.2052,1903.4036,105.1203,1443.1700,0.6484,0.3598,24.9263,0.4028,0.9371,0.0060,0.1553
0.1335,STABLE,STABLE,0.0170,0.0009,0.1208,0.2411,0.5340,0.4660,0.1108,0.0795,0.0972,0.3802,500.0000,0.0022,223.1039,83.0618,0.1108,0.2440,0.1080,0.0740,0.0900,0.0920,0.0740,0.0760,0.2420,277.1380,111.2194,0.0437,0.2615,0.0941,0.7611,-0.0001,-0.0000,0.0139,0.0207,0.4956,0.3430,0.0958,0.0814,0.1302,0.0923,0.0366,0.1584,0.0498,0.0015,0.1088,-0.0071,1.0001,0.0418,-0.0422,0.1085,0.2583,-0.0001,1.0001,0.0035,0.0611,-0.0397,-0.0000,0.0000,1.0000,0.2035,1927.6308,106.5065,1543.3855,0.6476,0.3596,22.0511,0.4111,0.9286,0.0102,0.0939
0.1668,STABLE,STABLE,0.0021,0.0002,0.0717,0.1294,0.5020,0.4980,0.0673,0.0501,0.0587,0.3457,500.0000,0.0022,222.8592,80.2267,0.0673,0.1220,0.0560,0.0900,0.1760,0.2240,0.1120,0.0960,0.1240,282.2983,120.6940,0.0465,0.2189,0.0787,1.5754,-0.0001,-0.0000,0.0203,0.0235,0.4941,0.3777,0.0785,0.0820,0.0813,0.0756,0.1049,0.0916,0.0471,0.0039,0.0578,-0.0004,1.0000,-0.0143,-0.0101,0.0668,0.1877,0.0000,1.0000,0.0009,-0.0048,-0.0161,0.0000,-0.0000,1.0000,0.2029,1956.1390,108.8524,1462.1603,0.6477,0.3572,24.9048,0.4083,0.9249,0.0123,0.0325
0.2002,STABLE,STABLE,-0.0101,-0.0043,0.0578,0.0802,0.4540,0.5460,0.0592,0.0468,0.0447,0.2467,500.0000,0.0022,222.8431,80.2942,0.0592,0.0860,0.0820,0.0800,0.1800,0.2540,0.1140,0.0900,0.1140,281.9988,120.7071,0.0419,0.1704,0.0634,1.6010,-0.0001,0.0000,0.0175,0.0208,0.5025,0.7583,0.0633,0.0822,0.0784,0.0591,0.0558,0.0797,0.0395,0.0005,0.0543,0.0018,1.0000,-0.0112,0.0104,0.0567,0.1414,0.0000,0.9999,-0.0016,-0.0075,0.0096,-0.0000,-0.0000,1.0000,0.2053,1998.4221,112.5821,1420.6133,0.6489,0.3548,-18.9341,0.3556,0.8898,0.0123,-0.0289
0.2336,STABLE,STABLE,-0.0017,-0.0001,0.0352,0.0476,0.4520,0.5460,0.0208,0.0061,0.0329,0.2137,500.0000,0.0022,222.7322,81.6158,0.0208,0.1340,0.0720,0.0840,0.1420,0.1700,0.1340,0.1140,0.1500,276.2864,122.9018,0.0053,0.1238,0.0494,0.6411,-0.0001,-0.0000,0.0106,0.0098,0.4879,0.2402,0.0275,0.0285,0.0384,0.0174,0.0523,0.0274,0.0177,0.0041,0.0230,0.0004,1.0000,-0.0014,-0.0002,0.0213,0.0886,-0.0000,0.9999,-0.0026,0.0182,0.0093,-0.0000,0.0000,1.0000,0.2062,2007.9122,113.3578,1423.9775,0.6491,0.3540,22.9559,0.4139,0.9288,0.0104,-0.1774
0.2669,STABLE,STABLE,0.0040,0.0000,0.0294,0.0224,0.3620,0.3060,0.0098,0.0005,0.0298,0.2797,500.0000,0.0022,222.8043,80.2610,0.0098,0.4440,0.0740,0.0800,0.0860,0.0620,0.0780,0.0860,0.0900,277.8327,129.2713,0.0000,0.0455,0.0286,0.3842,0.0000,-0.0000,0.0037,0.0034,0.4965,0.0888,0.0004,0.0018,0.0158,0.0087,0.0097,0.0282,0.0073,0.0006,0.0021,-0.0004,1.0000,-0.0004,-0.0037,0.0127,0.0423,-0.0000,1.0000,0.0006,-0.0033,-0.0017,0.0000,-0.0000,1.0000,0.2067,2009.6702,113.4990,1431.9868,0.6488,0.3543,29.9536,0.4778,0.9273,0.0005,-0.1615
0.3003,STABLE,STABLE,0.0043,0.0016,0.0289,0.0403,0.5880,0.4120,0.0207,0.0145,0.0250,0.2955,500.0000,0.0022,222.8411,80.5167,0.0207,0.0960,0.0480,0.0740,0.2280,0.2540,0.1120,0.0700,0.1180,276.0466,131.4231,0.0134,0.0880,0.0353,0.9422,-0.0000,-0.0000,0.0090,0.0081,0.4954,0.3036,0.0331,0.0259,0.0269,0.0223,0.0362,0.0386,0.0105,0.0026,0.0180,0.0001,1.0000,-0.0135,-0.0033,0.0203,0.0656,-0.0000,1.0000,-0.0011,-0.0161,0.0014,-0.0000,0.0000,1.0000,0.2084,2020.5341,114.6520,1436.8759,0.6495,0.3529,24.9263,0.4028,0.9371,-0.0004,-1.0885
