time_s,state,phase,radial_expansion,radial_expansion_median,radial_std,radial_p95,outward_frac,inward_frac,pt_displacement_mean,pt_displacement_median,pt_displacement_std,pt_displacement_max,point_count,point_density,feature_radius_mean,feature_radius_std,flow_magnitude,flow_dir_hist_0,flow_dir_hist_1,flow_dir_hist_2,flow_dir_hist_3,flow_dir_hist_4,flow_dir_hist_5,flow_dir_hist_6,flow_dir_hist_7,foe_x,foe_y,flow_median,flow_p95,flow_std,flow_max,div_mean,div_median,div_std,div_p95,div_pos_frac,div_max,grid_flow_00,grid_flow_01,grid_flow_02,grid_flow_10,grid_flow_11,grid_flow_12,grid_flow_20,grid_flow_21,grid_flow_22,cam_rotation,cam_scale,cam_tx,cam_ty,residual_flow_mean,residual_flow_p95,residual_div,hom_scale,hom_rotation,hom_tx,hom_ty,hom_persp_x,hom_persp_y,hom_ok,edge_density,texture_var,grad_magnitude_mean,sharpness,sky_fraction,ground_fraction,horizon_angle,horizon_pos,horizon_conf,expansion_rate,expansion_acceleration
0.0000,STABLE,STABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,500.0000,0.0016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0227,377.3444,24.6572,143.8573,0.7246,0.3415,-5.1078,0.9500,0.4493,-0.0204,-28.3110
0.0334,STABLE,STABLE,-0.0624,-0.0899,0.2810,0.3997,0.3740,0.6260,0.3797,0.3982,0.1570,0.7795,500.0000,0.0016,171.0717,89.2198,0.3797,0.0060,0.0020,0.0120,0.0200,0.1040,0.3400,0.4680,0.0480,516.5266,251.1685,0.1777,0.5527,0.1917,1.0264,-0.0004,-0.0000,0.0194,0.0266,0.4914,0.2355,0.0790,0.1892,0.3598,0.0274,0.1960,0.4101,0.0492,0.1938,0.3899,0.0594,1.0001,-0.3310,0.1503,0.1637,0.3504,-0.0000,0.9993,-0.0496,-0.1652,0.1677,0.0000,-0.0000,1.0000,0.0210,374.0027,23.5836,115.4970,0.6955,0.3320,45.0000,0.7312,0.4490,-0.9650,-27.6014
0.0667,STABLE,STABLE,-0.0722,-0.0943,0.2746,0.4189,0.3500,0.6500,0.3538,0.3747,0.1600,0.8777,500.0000,0.0016,171.5658,89.4675,0.3538,0.0120,0.0080,0.0040,0.0260,0.0620,0.2640,0.5080,0.1160,517.4279,249.2964,0.1801,0.5557,0.1969,0.9964,-0.0003,-0.0000,0.0220,0.0335,0.4939,0.2615,0.1043,0.1814,0.3959,0.0371,0.1941,0.4342,0.0459,0.2277,0.3729,0.0508,1.0001,-0.2700,0.0926,0.1743,0.3691,-0.0007,1.0001,-0.0519,-0.1797,0.0908,0.0000,-0.0000,1.0000,0.0206,372.6765,23.1754,109.4163,0.6961,0.3291,89.1231,0.5208,0.4901,-1.8623,-26.1821
0.1001,STABLE,STABLE,-0.0985,-0.1432,0.3818,0.5442,0.3740,0.6260,0.4513,0.5377,0.2280,0.9190,500.0000,0.0016,173.2299,90.3885,0.4513,0.0100,0.0000,0.0100,0.0300,0.0700,0.2440,0.5700,0.0660,520.8781,244.4246,0.1583,0.6668,0.2383,0.9338,-0.0005,-0.0000,0.0182,0.0254,0.4859,0.3024,0.0630,0.1513,0.3950,0.0257,0.1788,0.5424,0.0334,0.1993,0.5350,0.0733,1.0001,-0.3847,0.1564,0.1601,0.3883,-0.0001,0.9995,-0.0980,-0.0691,0.4473,0.0000,-0.0000,1.0000,0.0218,376.6647,23.9325,125.9969,0.6956,0.3313,-90.0000,0.5521,0.5175,-2.7123,-24.7628
0.1335,STABLE,ASCEND,-0.0981,-0.1497,0.4439,0.6493,0.4040,0.5960,0.5582,0.5695,0.2632,1.4922,500.0000,0.0016,173.2654,90.8141,0.5582,0.0100,0.0040,0.0060,0.0320,0.0660,0.3220,0.5100,0.0500,522.1914,244.9845,0.2233,0.8210,0.2899,1.6974,-0.0007,-0.0000,0.0257,0.0344,0.4913,0.3903,0.1063,0.2061,0.5726,0.0398,0.2825,0.6400,0.0714,0.2763,0.5867,0.0856,1.0002,-0.5057,0.1264,0.1724,0.5050,-0.0001,0.9991,-0.1081,-0.0356,0.3570,-0.0000,-0.0000,1.0000,0.0193,374.3316,22.7946,104.3732,0.7017,0.3141,-4.8498,0.9542,0.4140,-3.5148,-23.3435
0.1668,STABLE,ASCEND,-0.0948,-0.1343,0.4741,0.6706,0.3980,0.6020,0.5924,0.6412,0.2643,1.7273,500.0000,0.0016,172.8260,91.3677,0.5924,0.0040,0.0060,0.0080,0.0320,0.0760,0.2880,0.5140,0.0720,523.7445,247.9733,0.2541,0.8399,0.2957,1.7982,-0.0005,-0.0000,0.0282,0.0408,0.4988,0.3446,0.1356,0.2530,0.5708,0.0493,0.2643,0.6497,0.0807,0.3142,0.6197,0.0948,1.0003,-0.5665,0.1802,0.2100,0.5167,-0.0001,0.9984,-0.1243,0.0264,0.5402,-0.0000,-0.0000,1.0000,0.0198,370.3305,22.6016,102.8140,0.7129,0.2896,0.0000,0.9875,0.4475,-4.2701,-21.9242
0.2002,STABLE,ASCEND,-0.0918,-0.0904,0.4994,0.7124,0.4240,0.5760,0.6293,0.6997,0.2858,1.2387,500.0000,0.0016,171.1945,91.2523,0.6293,0.0060,0.0040,0.0100,0.0240,0.0400,0.4420,0.4240,0.0500,522.3902,254.1617,0.2531,0.9108,0.3265,1.2859,-0.0007,-0.0000,0.0250,0.0343,0.4956,0.3580,0.0920,0.2476,0.6427,0.0347,0.3290,0.6855,0.0595,0.3034,0.7140,0.0987,1.0002,-0.5637,0.1876,0.2047,0.5287,-0.0002,0.9994,-0.1007,-0.2399,0.2724,0.0000,-0.0000,1.0000,0.0214,372.5594,23.4031,117.9957,0.7165,0.2878,-77.8134,0.5479,0.5448,-4.9779,-20.5049
0.2336,DESCEND,ASCEND,-0.1538,-0.2716,0.6924,0.8265,0.3987,0.6013,0.8296,0.8376,0.4972,7.4400,500.0000,0.0016,166.9537,92.9595,0.8296,0.0022,0.0000,0.0087,0.0196,0.0610,0.3007,0.5447,0.0632,524.7709,246.5979,0.3703,1.2508,0.6170,7.3586,0.0010,-0.0000,0.0534,0.0506,0.4946,2.1122,0.1179,0.3286,0.7182,0.0392,0.3333,0.8433,0.0981,0.8779,1.0657,0.1347,1.0000,-0.5801,0.3604,0.2018,0.3899,-0.0005,1.0006,-0.1407,-0.8015,0.4264,0.0000,0.0000,0.9956,0.0145,347.5226,19.9271,56.6867,0.7224,0.2781,53.8889,0.7375,0.3775,-5.6384,-28.3059
0.2669,DESCEND,ASCEND,-0.2050,-0.4252,0.7282,1.0133,0.3836,0.6164,0.9552,0.9739,0.4503,8.0746,500.0000,0.0016,169.0631,92.4333,0.9552,0.0021,0.0021,0.0063,0.0189,0.0692,0.3375,0.5178,0.0461,526.7854,237.2073,0.4287,1.3235,0.6917,8.7247,-0.0016,-0.0000,0.0613,0.0581,0.4939,1.7873,0.1353,0.3286,0.8563,0.0552,0.3860,0.9811,0.1170,1.0237,1.2218,0.1479,0.9999,-0.5771,0.4019,0.2329,0.5045,0.0001,1.0000,-0.1410,-0.6672,0.3867,0.0000,-0.0000,0.9979,0.0200,368.9177,22.1136,95.8616,0.7184,0.2798,87.8079,0.5312,0.5229,-6.8669,-23.4906
0.3003,DESCEND,ASCEND,-0.4317,-0.7862,1.5660,2.1140,0.3843,0.6157,1.9572,2.1070,0.7667,3.4593,500.0000,0.0016,174.1212,93.0948,1.9572,0.0000,0.0020,0.0101,0.0201,0.0684,0.3783,0.4708,0.0503,528.5213,230.8139,0.8162,2.7018,0.9662,3.5586,-0.0018,0.0000,0.0596,0.0708,0.5018,0.7480,0.3636,0.7522,1.9191,0.0784,0.8320,2.1608,0.1292,0.9450,2.0921,0.3266,1.0002,-1.7235,0.7961,0.3167,1.0158,-0.0006,0.9991,-0.3279,-1.2171,0.9172,0.0000,-0.0000,1.0000,0.0209,370.7018,23.0481,108.9899,0.7160,0.2834,45.0000,0.7104,0.4419,-7.2060,-6.8017
